state,insurance_company,plan_type,surgery,cpt,status,policy_title,effective_date,policy_url,note
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,MRI of the knee / lower-extremity joint,73721,NOT RESEARCHED,,,,
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,MRI of the shoulder / upper-extremity joint,73221,NOT RESEARCHED,,,,
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,MRI of the lower back (lumbar spine),72148,NOT RESEARCHED,,,,
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,MRI of the neck (cervical spine),72141,NOT RESEARCHED,,,,
Alabama,UnitedHealthcare,Commercial/ACA,MRI of the knee / lower-extremity joint,73721,"CRITERIA EXIST, TEXT NOT EXTRACTED",UnitedHealthcare Cardiology and Radiology Imaging Guidelines V3.0.2026,2026-05-04,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/r-c/COMM-Exchange-Rad-Card-Guidelines-May-2026.pdf,"2026-08-25 imaging sweep. This is the correct current governing document (V3.0.2026, effective 05/04/2026; a V6/Oct-2026 edition is published but not yet effective). Its table of contents shows musculoskeletal and spine sections, but every fetch truncated inside Abdomen Imaging before the criteria. The link is safe to give a patient; the criteria still need to be read by hand. UHC names no radiology benefit manager on its own radiology page."
Alabama,UnitedHealthcare,Commercial/ACA,MRI of the shoulder / upper-extremity joint,73221,"CRITERIA EXIST, TEXT NOT EXTRACTED",UnitedHealthcare Cardiology and Radiology Imaging Guidelines V3.0.2026,2026-05-04,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/r-c/COMM-Exchange-Rad-Card-Guidelines-May-2026.pdf,"2026-08-25 imaging sweep. This is the correct current governing document (V3.0.2026, effective 05/04/2026; a V6/Oct-2026 edition is published but not yet effective). Its table of contents shows musculoskeletal and spine sections, but every fetch truncated inside Abdomen Imaging before the criteria. The link is safe to give a patient; the criteria still need to be read by hand. UHC names no radiology benefit manager on its own radiology page."
Alabama,UnitedHealthcare,Commercial/ACA,MRI of the lower back (lumbar spine),72148,"CRITERIA EXIST, TEXT NOT EXTRACTED",UnitedHealthcare Cardiology and Radiology Imaging Guidelines V3.0.2026,2026-05-04,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/r-c/COMM-Exchange-Rad-Card-Guidelines-May-2026.pdf,"2026-08-25 imaging sweep. This is the correct current governing document (V3.0.2026, effective 05/04/2026; a V6/Oct-2026 edition is published but not yet effective). Its table of contents shows musculoskeletal and spine sections, but every fetch truncated inside Abdomen Imaging before the criteria. The link is safe to give a patient; the criteria still need to be read by hand. UHC names no radiology benefit manager on its own radiology page."
Alabama,UnitedHealthcare,Commercial/ACA,MRI of the neck (cervical spine),72141,"CRITERIA EXIST, TEXT NOT EXTRACTED",UnitedHealthcare Cardiology and Radiology Imaging Guidelines V3.0.2026,2026-05-04,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/r-c/COMM-Exchange-Rad-Card-Guidelines-May-2026.pdf,"2026-08-25 imaging sweep. This is the correct current governing document (V3.0.2026, effective 05/04/2026; a V6/Oct-2026 edition is published but not yet effective). Its table of contents shows musculoskeletal and spine sections, but every fetch truncated inside Abdomen Imaging before the criteria. The link is safe to give a patient; the criteria still need to be read by hand. UHC names no radiology benefit manager on its own radiology page."
Alabama,Humana,Commercial/ACA,MRI of the knee / lower-extremity joint,73721,NO PUBLIC CRITERIA (vendor),Humana Medicare Advantage and D-SNP Prior Authorization and Notification List,2026-01-01,https://assets.humana.com/is/content/humana/FINAL_Medicare%20and%20DSNP%20Prior%20Authorization%20and%20Notification%20List%20-%201-1-2026pdf,"2026-08-25 imaging sweep. MRI sits under 'Diagnostic/cardiac imaging' requiring authorization, delegated to Cohere Health except in Florida where Humana manages it directly. This is a PA-requirement list, not a criteria document, and no public Cohere imaging criteria document was located. Humana has publicly announced dropping prior authorization for certain CT/MR exams; whether these codes are among them is unverified."
Alabama,Humana,Commercial/ACA,MRI of the shoulder / upper-extremity joint,73221,NO PUBLIC CRITERIA (vendor),Humana Medicare Advantage and D-SNP Prior Authorization and Notification List,2026-01-01,https://assets.humana.com/is/content/humana/FINAL_Medicare%20and%20DSNP%20Prior%20Authorization%20and%20Notification%20List%20-%201-1-2026pdf,"2026-08-25 imaging sweep. MRI sits under 'Diagnostic/cardiac imaging' requiring authorization, delegated to Cohere Health except in Florida where Humana manages it directly. This is a PA-requirement list, not a criteria document, and no public Cohere imaging criteria document was located. Humana has publicly announced dropping prior authorization for certain CT/MR exams; whether these codes are among them is unverified."
Alabama,Humana,Commercial/ACA,MRI of the lower back (lumbar spine),72148,NO PUBLIC CRITERIA (vendor),Humana Medicare Advantage and D-SNP Prior Authorization and Notification List,2026-01-01,https://assets.humana.com/is/content/humana/FINAL_Medicare%20and%20DSNP%20Prior%20Authorization%20and%20Notification%20List%20-%201-1-2026pdf,"2026-08-25 imaging sweep. MRI sits under 'Diagnostic/cardiac imaging' requiring authorization, delegated to Cohere Health except in Florida where Humana manages it directly. This is a PA-requirement list, not a criteria document, and no public Cohere imaging criteria document was located. Humana has publicly announced dropping prior authorization for certain CT/MR exams; whether these codes are among them is unverified."
Alabama,Humana,Commercial/ACA,MRI of the neck (cervical spine),72141,NO PUBLIC CRITERIA (vendor),Humana Medicare Advantage and D-SNP Prior Authorization and Notification List,2026-01-01,https://assets.humana.com/is/content/humana/FINAL_Medicare%20and%20DSNP%20Prior%20Authorization%20and%20Notification%20List%20-%201-1-2026pdf,"2026-08-25 imaging sweep. MRI sits under 'Diagnostic/cardiac imaging' requiring authorization, delegated to Cohere Health except in Florida where Humana manages it directly. This is a PA-requirement list, not a criteria document, and no public Cohere imaging criteria document was located. Humana has publicly announced dropping prior authorization for certain CT/MR exams; whether these codes are among them is unverified."
Alabama,Aetna,Commercial/ACA,MRI of the knee / lower-extremity joint,73721,VERIFIED,Aetna CPB 0171 - MRI of the Extremities,last reviewed 2026-03-31,https://www.aetna.com/cpb/medical/data/100_199/0171.html,2026-08-25 imaging sweep. 73721 is listed under 'CPT codes covered if selection criteria are met' and the policy body carries knee-specific criteria.
Alabama,Aetna,Commercial/ACA,MRI of the shoulder / upper-extremity joint,73221,CONFIRMED NO POLICY,Aetna CPB 0171 - MRI of the Extremities,last reviewed 2026-03-31,https://www.aetna.com/cpb/medical/data/100_199/0171.html,"2026-08-25 imaging sweep. Verified negative, on two independent fetches: CPB 0171's code table covers the 73218-73223 range but the policy body contains NO shoulder-specific criteria at all -- its detailed criteria address knee, foot and hand only. No separate Aetna shoulder-MRI CPB exists. Aetna's knee language must NOT be reused for a shoulder MRI denial."
Alabama,Aetna,Commercial/ACA,MRI of the lower back (lumbar spine),72148,VERIFIED,Aetna CPB 0236 - MRI and CT of the Spine,last reviewed 2026-04-09,https://www.aetna.com/cpb/medical/data/200_299/0236.html,"2026-08-25 imaging sweep. The code is listed under 'CPT codes covered if selection criteria are met'. Aetna applies one combined spine criteria set to cervical, thoracic and lumbar."
Alabama,Aetna,Commercial/ACA,MRI of the neck (cervical spine),72141,VERIFIED,Aetna CPB 0236 - MRI and CT of the Spine,last reviewed 2026-04-09,https://www.aetna.com/cpb/medical/data/200_299/0236.html,"2026-08-25 imaging sweep. The code is listed under 'CPT codes covered if selection criteria are met'. Aetna applies one combined spine criteria set to cervical, thoracic and lumbar."
Alabama,Cigna,Commercial/ACA,MRI of the knee / lower-extremity joint,73721,VERIFIED,Cigna Medical Coverage Policies - Radiology: Musculoskeletal Imaging Guidelines V1.0.2026,2026-02-03,https://www.evicore.com/sites/default/files/clinical-guidelines/2025-10/Cigna_Musculoskeletal%20Imaging%20Guidelines_V1.0.2026_eff02.03.2026_PUB10.29.2025.pdf,"2026-08-25 imaging sweep. Cigna's provider prior-authorization page states 'We collaborate with EviCore by Evernorth' and lists 'Radiology Imaging, High- and Low-Technology' among the eviCore-managed services. This is the eviCore-authored, Cigna-branded guideline; the code is named in it explicitly."
Alabama,Cigna,Commercial/ACA,MRI of the shoulder / upper-extremity joint,73221,VERIFIED,Cigna Medical Coverage Policies - Radiology: Musculoskeletal Imaging Guidelines V1.0.2026,2026-02-03,https://www.evicore.com/sites/default/files/clinical-guidelines/2025-10/Cigna_Musculoskeletal%20Imaging%20Guidelines_V1.0.2026_eff02.03.2026_PUB10.29.2025.pdf,"2026-08-25 imaging sweep. Cigna's provider prior-authorization page states 'We collaborate with EviCore by Evernorth' and lists 'Radiology Imaging, High- and Low-Technology' among the eviCore-managed services. This is the eviCore-authored, Cigna-branded guideline; the code is named in it explicitly."
