state,insurance_company,plan_type,surgery,cpt,status,policy_title,effective_date,policy_url,note
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,Total knee replacement,27447,NOT RESEARCHED (regional Blue),,,,
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,Partial knee replacement,27446,NOT RESEARCHED (regional Blue),,,,
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,ACL reconstruction,29888,NOT RESEARCHED (regional Blue),,,,
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,Knee arthroscopy / meniscus surgery,29881,NOT RESEARCHED (regional Blue),,,,
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,Total hip replacement,27130,NOT RESEARCHED (regional Blue),,,,
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,Hip arthroscopy,29914,NOT RESEARCHED (regional Blue),,,,
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,Rotator cuff repair,29827,NOT RESEARCHED (regional Blue),,,,
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,Total shoulder replacement,23472,NOT RESEARCHED (regional Blue),,,,
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,Shoulder labral / instability repair,29806,NOT RESEARCHED (regional Blue),,,,
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,Total ankle replacement,27702,NOT RESEARCHED (regional Blue),,,,
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,Bunion surgery (hallux valgus),28296,NOT RESEARCHED (regional Blue),,,,
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,Lower back (lumbar) fusion,22612,NOT RESEARCHED (regional Blue),,,,
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,Neck (cervical) fusion (ACDF),22551,NOT RESEARCHED (regional Blue),,,,
Alabama,Blue Cross and Blue Shield of Alabama,Commercial/ACA,Lower back disc surgery / decompression,63030,NOT RESEARCHED (regional Blue),,,,
Alabama,UnitedHealthcare,Commercial/ACA,Total knee replacement,27447,NO PUBLIC CRITERIA (vendor),Surgery of the Knee (Commercial),2026-06-01,https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/surgery-knee.pdf,TKA criteria outsourced to InterQual; ACL 29888 is only listed in the code table with no ACL criteria.
Alabama,UnitedHealthcare,Commercial/ACA,Partial knee replacement,27446,NOT RESEARCHED (procedure not in research set),,,,
Alabama,UnitedHealthcare,Commercial/ACA,ACL reconstruction,29888,CODE ONLY,Surgery of the Knee (Commercial),2026-06-01,https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/surgery-knee.pdf,TKA criteria outsourced to InterQual; ACL 29888 is only listed in the code table with no ACL criteria.
Alabama,UnitedHealthcare,Commercial/ACA,Knee arthroscopy / meniscus surgery,29881,NOT RESEARCHED (procedure not in research set),,,,
Alabama,UnitedHealthcare,Commercial/ACA,Total hip replacement,27130,NO PUBLIC CRITERIA (vendor),Surgery of the Hip (2026T0503JJ),"March 1, 2026",https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/surgery-hip.pdf,"Policy defers to InterQual CP: Procedures for medical necessity criteria; only public rule is an FAI contraindication, no positive indications/conservative-care criteria in the pub"
Alabama,UnitedHealthcare,Commercial/ACA,Hip arthroscopy,29914,NO PUBLIC CRITERIA (vendor),Surgery of the Hip (2026T0503JJ),"March 1, 2026",https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/surgery-hip.pdf,"Policy defers to InterQual CP: Procedures for medical necessity criteria; only public rule is an FAI contraindication, no positive indications/conservative-care criteria in the pub"
Alabama,UnitedHealthcare,Commercial/ACA,Rotator cuff repair,29827,NO PUBLIC CRITERIA (vendor),Surgery of the Shoulder (2026T0556FF),"January 1, 2026",https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/surgery-shoulder.pdf,Defers to InterQual CP: Procedures (Arthroscopy Shoulder; Joint Replacement Shoulder); no public MN criteria for these codes.
