payer,plan,line_of_business,state,surgery,cpt,status,authority,policy_url,policy_title,effective_date,key_criterion,note
Centene (Ambetter/WellCare),WellCare / Ascension Complete,Medicare Advantage,Alabama,Total knee arthroplasty (TKA),27447,VERIFIED (CMS LCD/NCD),CMS MAC: Palmetto GBA JJ,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=33456,Total Joint Arthroplasty (L33456),06/15/2023,This A/B MAC will consider TKR surgery medically necessary when 1 or more of the following criteria are met: Advanced joint disease demonstrated by radiographic supported evidence or MRI supported evi,"Single Palmetto GBA LCD 'Total Joint Arthroplasty' covers JJ (AL/GA/TN) and JM (NC/SC/VA/WV); active, revision eff 06/15/2023; includes TKA and THA indications (verified in CMS MCD)."
Centene (Ambetter/WellCare),WellCare / Ascension Complete,Medicare Advantage,Alabama,Total hip arthroplasty (THA),27130,VERIFIED (CMS LCD/NCD),CMS MAC: Palmetto GBA JJ,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=33456,Total Joint Arthroplasty (L33456),06/15/2023,Avascular necrosis (osteonecrosis of femoral head),"Single Palmetto GBA LCD 'Total Joint Arthroplasty' covers JJ (AL/GA/TN) and JM (NC/SC/VA/WV); active, revision eff 06/15/2023; includes TKA and THA indications (verified in CMS MCD). THA indications list includes avascular necrosis, advanced joint di"
Centene (Ambetter/WellCare),WellCare / Ascension Complete,Medicare Advantage,Alabama,Arthroscopic rotator cuff repair,29827,NO LCD — general medical necessity,CMS MAC: Palmetto GBA JJ,https://www.cms.gov/medicare-coverage-database,CMS Medicare Coverage Database (no LCD for this procedure),,,"no active LCD in any jurisdiction — general medical-necessity review. Checked MCD via cms.gov site search and Coverage API (2026-08-18); only Total Shoulder Arthroplasty LCDs (e.g., L39956) exist for shoulder, and they do not cover 29827."
Centene (Ambetter/WellCare),WellCare / Ascension Complete,Medicare Advantage,Alabama,Total shoulder arthroplasty,23472,VERIFIED (CMS LCD/NCD),CMS MAC: Palmetto GBA JJ,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39956,LCD L39956 - Total Shoulder Arthroplasty,03/27/2025,Documentation of moderate-to-severe chronic pain OR chronic functional disability for a minimum of 12 weeks; AND Documentation of at least 12 weeks of unsuccessful conservative therapy.,Only MAC with a TSA LCD; fetched current version.
Centene (Ambetter/WellCare),WellCare / Ascension Complete,Medicare Advantage,Alabama,ACL reconstruction,29888,NO LCD — general medical necessity,CMS MAC: Palmetto GBA JJ,https://www.cms.gov/medicare-coverage-database,CMS Medicare Coverage Database (no LCD for this procedure),,,no active LCD in any jurisdiction — general medical-necessity review. No MAC LCD or billing article for 29888/anterior cruciate ligament reconstruction found in MCD.
Centene (Ambetter/WellCare),WellCare / Ascension Complete,Medicare Advantage,Alabama,Lumbar fusion,22612,VERIFIED (CMS LCD/NCD),CMS MAC: Palmetto GBA JJ,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37848,LCD L37848 - Lumbar Spinal Fusion,05/06/2019 (rev. eff. 09/12/2024),"Radiographic or clinical evidence of instability due to any 1 of the following: Congenital deformities, Trauma, Fractures, Chronic degenerative conditions, Tumor, Infection, Erosive conditions, Space-","Only MAC with an active lumbar fusion LCD (corroborated by UHC MA Spine Procedures policy, 08/01/2026). Companion billing article A56396."
Centene (Ambetter/WellCare),WellCare / Ascension Complete,Medicare Advantage,Alabama,Cervical fusion / ACDF,22551,VERIFIED (CMS LCD/NCD),CMS MAC: Palmetto GBA JJ,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39773,LCD L39773 - Cervical Fusion,07/14/2024 (rev. eff. 01/16/2025),Persistent or recurrent moderate or severe arm pain (4 or more on the visual analog scale [VAS]),Part of the 2024 multi-MAC collaborative cervical fusion LCD family.
Centene (Ambetter/WellCare),WellCare / Ascension Complete,Medicare Advantage,Alabama,Total ankle arthroplasty,27702,NO LCD — general medical necessity,CMS MAC: Palmetto GBA JJ,https://www.cms.gov/medicare-coverage-database,CMS Medicare Coverage Database (no LCD for this procedure),,,no active LCD in any jurisdiction — general medical-necessity review. MAC 'Total Joint Arthroplasty' LCDs explicitly cover hip/knee only: Palmetto L33456 and WPS L39911 state they address only hip and knee replacement and never mention ankle; NGS L36
Centene (Ambetter/WellCare),WellCare / Ascension Complete,Medicare Advantage,Alabama,Bunionectomy / hallux valgus,28296,NO LCD — general medical necessity,CMS MAC: Palmetto GBA JJ,https://www.cms.gov/medicare-coverage-database,CMS Medicare Coverage Database (no LCD for this procedure),,,no active LCD in any jurisdiction — general medical-necessity review. Verified (not assumed): cms.gov site-restricted searches for bunion/bunionectomy/hallux valgus/hammertoe/foot surgery and Coverage API queries surface only Routine Foot Care LCDs (
Centene (Ambetter/WellCare),WellCare / Ascension Complete,Medicare Advantage,Alabama,Hip arthroscopy,29914-29916,NO LCD — general medical necessity,CMS MAC: Palmetto GBA JJ,https://www.cms.gov/medicare-coverage-database,CMS Medicare Coverage Database (no LCD for this procedure),,,"no active LCD in any jurisdiction — general medical-necessity review. Searches for 29914/29915/29916, hip arthroscopy, and femoroacetabular impingement return only Total Joint Arthroplasty LCDs (hip/knee replacement), which do not cover arthroscopic "
