layer,who,surgery,cpt,status,scope,policy_title,effective,url
Commercial/ACA,CareFirst BCBS,ACL reconstruction,29888,PENDING,National,,,
Commercial/ACA,CareFirst BCBS,Arthroscopic rotator cuff repair,29827,PENDING,National,,,
Commercial/ACA,CareFirst BCBS,Bunionectomy / hallux valgus,28296,PENDING,National,,,
Commercial/ACA,CareFirst BCBS,Cervical fusion / ACDF,22551,PENDING,National,,,
Commercial/ACA,CareFirst BCBS,Hip arthroscopy,29914-29916,PENDING,National,,,
Commercial/ACA,CareFirst BCBS,Lumbar fusion,22612,PENDING,National,,,
Commercial/ACA,CareFirst BCBS,Lumbar microdiscectomy / decompression,63030,PENDING,National,,,
Commercial/ACA,CareFirst BCBS,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,PENDING,National,,,
Commercial/ACA,CareFirst BCBS,Total ankle arthroplasty,27702,PENDING,National,,,
Commercial/ACA,CareFirst BCBS,Total hip arthroplasty (THA),27130,PENDING,National,,,
Commercial/ACA,CareFirst BCBS,Total knee arthroplasty (TKA),27447,PENDING,National,,,
Commercial/ACA,CareFirst BCBS,Total shoulder arthroplasty,23472,PENDING,National,,,
Commercial/ACA,Horizon BCBS New Jersey,ACL reconstruction,29888,PENDING,National,,,
Commercial/ACA,Horizon BCBS New Jersey,Arthroscopic rotator cuff repair,29827,PENDING,National,,,
Commercial/ACA,Horizon BCBS New Jersey,Bunionectomy / hallux valgus,28296,PENDING,National,,,
Commercial/ACA,Horizon BCBS New Jersey,Cervical fusion / ACDF,22551,PENDING,National,,,
Commercial/ACA,Horizon BCBS New Jersey,Hip arthroscopy,29914-29916,PENDING,National,,,
Commercial/ACA,Horizon BCBS New Jersey,Lumbar fusion,22612,PENDING,National,,,
Commercial/ACA,Horizon BCBS New Jersey,Lumbar microdiscectomy / decompression,63030,PENDING,National,,,
Commercial/ACA,Horizon BCBS New Jersey,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,PENDING,National,,,
Commercial/ACA,Horizon BCBS New Jersey,Total ankle arthroplasty,27702,PENDING,National,,,
Commercial/ACA,Horizon BCBS New Jersey,Total hip arthroplasty (THA),27130,PENDING,National,,,
Commercial/ACA,Horizon BCBS New Jersey,Total knee arthroplasty (TKA),27447,PENDING,National,,,
Commercial/ACA,Horizon BCBS New Jersey,Total shoulder arthroplasty,23472,PENDING,National,,,
Commercial/ACA,Independence Blue Cross,ACL reconstruction,29888,PENDING,National,,,
