carrier,procedure,cpt,policy_title,url,doc_is_public,cpt_verified,effective_date,notes
UnitedHealthcare,Total knee arthroplasty (TKA),27447,Surgery of the Knee (Commercial),https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/surgery-knee.pdf,True,True,2026-06-01,27447 in Applicable Codes.
UnitedHealthcare,Total hip arthroplasty (THA),27130,Surgery of the Hip (2026T0503JJ),https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/surgery-hip.pdf,True,True,2026-03-01,27130 total hip arthroplasty.
UnitedHealthcare,Arthroscopic rotator cuff repair,29827,Surgery of the Shoulder (2026T0556FF),https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/surgery-shoulder.pdf,True,True,2026-01-01,29827 rotator cuff repair.
UnitedHealthcare,Total shoulder arthroplasty,23472,Surgery of the Shoulder (2026T0556FF),https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/surgery-shoulder.pdf,True,True,2026-01-01,23472 total shoulder; same policy.
UnitedHealthcare,ACL reconstruction,29888,Surgery of the Knee (Commercial),https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/surgery-knee.pdf,True,True,2026-06-01,29888 ACL; same knee policy.
UnitedHealthcare,Lumbar fusion,22612,Spinal Fusion and Decompression (2026T0639I),https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/spinal-fusion-decompression.pdf,True,True,2026-04-01,22612 lumbar fusion.
UnitedHealthcare,Cervical fusion / ACDF,22551,Spinal Fusion and Decompression (2026T0639I),https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/spinal-fusion-decompression.pdf,True,True,2026-04-01,22551 ACDF; same spine policy.
UnitedHealthcare,Total ankle arthroplasty,27702,Surgery of the Ankle (2026T0622O),https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/surgery-ankle.pdf,True,True,2026-07-01,27702 total ankle.
UnitedHealthcare,Bunionectomy / hallux valgus,28296,Surgery of the Foot (2026T0624O),https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/surgery-foot.pdf,True,True,2026-01-01,28296 hallux valgus.
UnitedHealthcare,Hip arthroscopy,29914-29916,Surgery of the Hip (2026T0503JJ),https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/surgery-hip.pdf,True,True,2026-03-01,29914-29916; same hip policy.
UnitedHealthcare,Lumbar microdiscectomy / decompression,63030,Spinal Fusion and Decompression (2026T0639I),https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/spinal-fusion-decompression.pdf,True,True,2026-04-01,63030 decompression; same spine policy.
UnitedHealthcare,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,MRI/CT Site of Service (MP.13.19),https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/mri-ct-scan-site-of-service.pdf,True,True,2026-01-01,"All three CPTs present (site-of-service; clinical criteria via radiology imaging guidelines, portal-gated)."
Aetna (CVS Health),Total knee arthroplasty (TKA),27447,Knee Arthroplasty (CPB 0660),https://www.aetna.com/cpb/medical/data/600_699/0660.html,True,True,rev 2026-02-26,27447 in Applicable CPT codes.
Aetna (CVS Health),Total hip arthroplasty (THA),27130,Hip Arthroplasty (CPB 0287),https://www.aetna.com/cpb/medical/data/200_299/0287.html,True,True,rev 2026-07-17,27130 listed.
Aetna (CVS Health),Arthroscopic rotator cuff repair,29827,,,False,False,,No dedicated Aetna CPB lists 29827 (absent from Shoulder Arthroplasty CPB 0837 and graft CPB 0411). Adjudicated by medical necessity.
Aetna (CVS Health),Total shoulder arthroplasty,23472,Shoulder Arthroplasty and Arthrodesis (CPB 0837),https://www.aetna.com/cpb/medical/data/800_899/0837.html,True,True,rev 2026-06-25,23472 listed.
Aetna (CVS Health),ACL reconstruction,29888,Allograft Transplants of the Extremities (CPB 0364),https://www.aetna.com/cpb/medical/data/300_399/0364.html,True,True,rev 2026-05-15,29888 listed; no standalone ACL CPB.
Aetna (CVS Health),Lumbar fusion,22612,Spinal Surgery: Laminectomy and Fusion (CPB 0743),https://www.aetna.com/cpb/medical/data/700_799/0743.html,True,True,rev 2026-07-30,22612 listed.
Aetna (CVS Health),Cervical fusion / ACDF,22551,Spinal Surgery: Laminectomy and Fusion (CPB 0743),https://www.aetna.com/cpb/medical/data/700_799/0743.html,True,True,rev 2026-07-30,22551 listed; same CPB.
Aetna (CVS Health),Total ankle arthroplasty,27702,Total Ankle Arthroplasty (CPB 0645),https://www.aetna.com/cpb/medical/data/600_699/0645.html,True,True,rev 2026-05-15,27702 listed.
Aetna (CVS Health),Bunionectomy / hallux valgus,28296,Bunionectomy (CPB 0629),https://www.aetna.com/cpb/medical/data/600_699/0629.html,True,True,rev 2025-12-11,28296 listed.
Aetna (CVS Health),Hip arthroscopy,29914-29916,Hip Preservation Surgery (CPB 0736),https://www.aetna.com/cpb/medical/data/700_799/0736.html,True,True,rev 2026-07-31,29914-29916 all listed.
